@RELATION blinking

@ATTRIBUTE frames_since_experiment_started NUMERIC
@ATTRIBUTE frames_since_the_last_blink NUMERIC
@ATTRIBUTE is_blink NUMERIC
@ATTRIBUTE attention_level {True, False}
@DATA
24608,36280,0,False
24639,11812,1,False
24669,36481,0,True
24699,36511,0,True
24730,36542,0,True
24760,36572,0,True
24790,36602,0,True
24820,36632,0,True
24851,36663,0,True
24881,36693,0,False
24911,11952,1,True
24942,36894,0,True
24972,36924,0,True
25002,36954,0,True
25033,36985,0,True
25063,37015,0,True
25093,37045,0,True
25123,37075,0,True
25154,37106,0,False
25184,37136,0,True
25214,37166,0,False
25245,37197,0,False
25275,37227,0,False
25305,13174,1,True
25336,38510,0,False
25366,38540,0,True
25396,38570,0,True
25427,12251,1,False
25457,37708,0,False
25487,37738,0,False
25517,37768,0,False
25548,37799,0,False
25578,37829,0,False
25608,37859,0,False
25639,37890,0,False
25669,37920,0,False
25699,37950,0,False
25730,37981,0,False
25760,38011,0,False
25790,38041,0,False
25820,38071,0,True
25881,38132,0,True
25911,38162,0,True
25942,38193,0,True
25972,38223,0,True
26002,38253,0,True
26063,13499,1,True
26093,39592,0,False
26124,39623,0,False
26154,39653,0,False
26184,39683,0,True
26245,12754,1,True
26275,39029,0,True
26305,39059,0,False
26336,13585,1,True
26366,39951,0,False
26396,39981,0,True
26427,40012,0,True
26457,40042,0,False
26487,12902,1,False
26517,39419,0,True
26548,39450,0,False
26578,39480,0,False
26608,39510,0,False
26639,13738,1,False
26669,40407,0,True
26699,40437,0,False
26730,13738,0,False
26760,13028,1,True
26790,39818,0,True
26820,39848,0,True
26851,39879,0,True
26881,13860,1,True
26911,40771,0,True
26942,13091,1,True
26972,40063,0,False
27002,40093,0,False
27033,40124,0,False
27063,40154,0,False
27093,40184,0,False
27124,40215,0,True
27154,14065,1,True
27184,41249,0,True
27214,41279,0,True
27245,41310,0,True
27275,41340,0,True
27305,41370,0,True
27336,41401,0,True
27366,41431,0,True
27396,41461,0,True
27427,41492,0,True
27457,41522,0,True
27487,41552,0,True
27517,41582,0,True
27548,41613,0,True
27578,41643,0,True
27608,41673,0,False
27639,41704,0,True
27669,41734,0,True
27699,41764,0,True
27730,41795,0,True
27760,41825,0,True
27790,41855,0,True
27820,41885,0,True
27851,41916,0,False
27881,13465,1,True
27911,41376,0,False
27942,41407,0,False
27972,41437,0,False
28002,41467,0,False
28033,41498,0,False
28063,41528,0,False
28093,14625,1,False
28124,42749,0,False
28154,42779,0,False
28184,42809,0,False
28214,42839,0,False
28245,42870,0,True
28275,42900,0,True
28305,42930,0,True
28336,42961,0,True
28366,42991,0,False
28396,43021,0,False
28427,43052,0,True
28457,14972,1,True
28487,43459,0,False
28517,43489,0,False
28548,43520,0,False
28578,43550,0,True
28608,43580,0,True
28639,43611,0,True
28669,43641,0,True
28699,43671,0,False
28730,43702,0,True
28760,43732,0,True
28790,43762,0,True
28820,43792,0,True
28851,43823,0,True
28881,43853,0,True
28911,43883,0,False
28942,43914,0,True
28972,43944,0,True
29002,43974,0,True
29033,44005,0,True
29063,44035,0,True
29093,44065,0,True
29124,44096,0,True
29154,44126,0,True
29184,44156,0,True
29214,44186,0,True
29245,44217,0,False
29275,44247,0,True
29305,44277,0,True
29336,44308,0,True
29366,44338,0,True
29396,44368,0,True
29427,13969,1,True
29457,43426,0,False
29487,43456,0,False
29517,43486,0,False
29548,43517,0,False
29578,43547,0,True
29608,43577,0,True
29639,43608,0,True
29669,43638,0,True
29699,43668,0,True
29730,14127,1,True
29760,43887,0,False
29790,43917,0,True
29820,43947,0,False
29851,43978,0,False
29881,44008,0,False
29911,44038,0,False
29942,15810,1,False
29972,45782,0,False
30002,45812,0,False
30033,45843,0,False
30063,45873,0,False
30093,45903,0,False
30124,45934,0,False
30154,14335,1,True
30184,44519,0,False
30214,15874,1,True
30245,46119,0,True
30275,46149,0,True
30305,46179,0,True
30336,46210,0,True
30366,46240,0,False
30396,46270,0,False
30427,46301,0,False
30457,14585,1,False
30487,45072,0,False
30517,45102,0,True
30548,45133,0,True
30578,45163,0,True
30608,45193,0,True
30639,45224,0,True
30669,16079,1,True
30699,46778,0,True
30730,46809,0,True
30760,46839,0,True
30790,46869,0,True
30820,46899,0,True
30851,14770,1,True
30881,45651,0,True
30911,45681,0,True
